термин,перевод,пояснение
ыйман,иман (вера),"не переводить как «совесть» или «мораль»; иман — вера в Аллаха"
келме,калима (шахада),"свидетельство веры; не переводить как «слово»"
устаз,устаз,"уважительное обращение к религиозному учителю; не заменять на «учитель»"
кайрымдуулук,милосердие / благотворительность,"добрые дела, садака"
субханала,СубханАллах,"восклицание «Пречист Аллах»; оставлять как есть"
аллах,Аллах,"с заглавной буквы"
дуба,дуа (мольба),"обращение к Аллаху с просьбой"
намаз,намаз,"оставлять как есть"
сооп,саваб (награда),"награда от Аллаха за благие дела"
күнөө,грех,
акырет,ахират (будущая жизнь),"жизнь после смерти"
жакшы ниет,благое намерение,"ният — намерение в исламе"
аят,аят,"стих Корана"
хадис,хадис,"изречение Пророка ﷺ"
пайгамбар,Пророк ﷺ,"с заглавной; при имени Мухаммада добавлять ﷺ по контексту"
ырыскы,ризык (удел),"пропитание и все блага, предопределённые Аллахом; не сужать до «еда/пропитание»"
"жазылган (о судьбе, ырыске)",предписан(о),в религиозном контексте — предписано Аллахом (кадар); не переводить как «записано»
кадар,кадар (предопределение),божественное предопределение
тообо,тауба (покаяние),
сабыр,сабр (терпение),терпение как религиозная добродетель
Аллах Таала,Аллах Всевышний,
Кудай,Аллах,"в речи устазов «Кудай» = Аллах, переводить как Аллах"
Жараткан,Творец,
пенде,раб (Аллаха),"человек как раб Божий, без уничижительного оттенка"
ыйман келтирүү,уверовать,
момун / момундар,верующий / верующие (муъмин),
мусулман,мусульманин,
үммөт,умма,община Пророка ﷺ
ибадат,ибадат (поклонение),
орозо,пост (ураза),
зекет,закят,обязательная милостыня
ажылык / ажыга баруу,хадж / совершить хадж,
жума намаз,джума-намаз,пятничная молитва
азан,азан,
мечит,мечеть,
зикир,зикр,поминание Аллаха
шүгүр / шүгүр кылуу,шукр / благодарить (Аллаха),благодарность Аллаху
ыклас,ихлас (искренность),искренность в поклонении
садага / садака,садака,добровольная милостыня
курмандык,курбан (жертвоприношение),
адал,халяль (дозволенное),
арам,харам (запретное),
парз,фард (обязательное),религиозная обязанность
сүннөт,сунна,по примеру Пророка ﷺ
күнөө кылуу,грешить,
күнөөкөр,грешник,
сооп иш,благое дело,
бейиш / жаннат,рай (Джаннат),
тозок,ад (Джаханнам),
кыямат / кыямат күн,Судный день (Кыямат),
акыр заман,конец времён,
ажал,смертный час (аджаль),предопределённый срок смерти
сыноо,испытание,испытание от Аллаха
тагдыр,судьба (такдир),предопределение
амал,деяние (амал),"поступки, за которые будет спрос"
ниет,намерение (ният),
периште,ангел,
шайтан,шайтан,
напси,нафс (эго),"низменное «я», страсти"
дүйнө / бул дүйнө,этот мир (дунья),земная жизнь в противовес ахирату
береке / берекет,баракат (благодать),
ырайым,милость,
мээрим,милосердие,
кечирим / кечирүү,прощение / прощать,
ыраазы болуу,быть довольным,«Аллах ыраазы болсун» = «да будет доволен тобой Аллах»
такыба,богобоязненность (таква),
вааз / насаат,проповедь / наставление,
Аллах буюрса / Кудай буюрса,если пожелает Аллах (иншаАллах),
Аллага шүгүр,хвала Аллаху (Альхамдулиллах),
Аллах ыраазы болсун,да будет доволен вами Аллах,форма благодарности
Аллахтын ырайымы,милость Аллаха,
эки дүйнө,оба мира,этот мир и ахират
